,job_title,working_type,salary_from,salary_to,experience
201,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
202,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
203,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
204,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
205,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
206,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
207,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
208,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
209,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
210,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
211,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
212,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
213,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
214,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
215,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
216,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
217,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
218,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
219,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
220,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
221,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
222,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
223,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
224,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
225,Продавец,полная занятость,42500.0,42500.0,без опыта
226,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
227,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
228,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
229,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
230,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
231,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
232,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
233,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
234,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
235,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
236,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
237,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
238,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
239,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
240,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
241,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
242,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
243,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
244,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
245,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
246,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
247,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
248,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
249,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
250,Продавец,полная занятость,42500.0,42500.0,без опыта
251,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
252,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
253,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
254,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
255,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
256,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
257,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
258,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
259,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
260,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
261,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
262,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
263,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
264,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
265,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
266,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
267,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
268,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
269,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
270,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
271,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
272,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
273,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
274,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
275,Продавец,полная занятость,42500.0,42500.0,без опыта
276,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
277,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
278,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
279,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
280,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
281,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
282,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
283,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
284,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
285,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
286,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
287,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
288,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
289,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
290,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
291,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
292,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
293,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
294,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
295,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
296,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
297,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
298,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
299,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
300,Продавец,полная занятость,42500.0,42500.0,без опыта
301,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
302,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
303,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
304,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
